event_id,title,category,fomo_section,status,date,day_of_week,month,location,source,url,notes,enriched
algorand-builders-berlin-agentic-commerce-x402-hackathon,Algorand Builders Berlin: Agentic Commerce x402 Hackathon,Opportunity,Top Events,confirmed,2026-06-06,Saturday,2026-06,"42 Berlin, Harzer Str. 42, 12059 Berlin",Luma,https://luma.com/agentic-commerce-hack,"$20,000 prizepool; 6-7 June",True
diversity-drinks,Diversity Drinks🍸🍹🍷🍾,Event,Daily Events,confirmed,2026-06-09,Tuesday,2026-06,Berlin,Luma,https://luma.com/s6ace0xk,approval required; SuperVenture/SuperReturn,True
ai-bbq-2026,AI & BBQ 2026,Event,Daily Events,confirmed,2026-06-09,Tuesday,2026-06,"Merantix AI Campus, Max-Urich-Straße 3, 13355 Berlin",Luma,https://luma.com/ztls1sjs,invite-only,True
superreturn-berlin-women-in-finance-group-side-event,SuperReturn Berlin Women in Finance Group Side event,Event,Daily Events,pending,2026-06-09,Tuesday,2026-06,Berlin,Luma,https://luma.com/864v5rn0,approval required,True
what-it-takes-to-get-funded-live-investor-q-a-w-maayan-teper,What It Takes to Get Funded: Live Investor Q&A w/ Maayan Teper,Event,Daily Events,pending,2026-06-09,Tuesday,2026-06,Online (Berlin Startup Founder 101),Meetup,https://www.meetup.com/berlin-startup-founder-101/events/314737240/,online webinar,True
business-netzwerken-berlin-in-moabit,Business Netzwerken Berlin in Moabit,Event,Daily Events,pending,2026-06-09,Tuesday,2026-06,"CI Space, Bugenhagenstraße 9, 10551 Berlin",Meetup,https://www.meetup.com/business-netzwerken-berlin/events/314690230/,German-only,True
coworking-at-gesundbrunnen,Coworking at Gesundbrunnen,Event,Daily Events,pending,2026-06-09,Tuesday,2026-06,"Moxy Berlin Humboldthain Park, Hochstraße 2, 13357 Berlin",Meetup,https://www.meetup.com/berlin-coworking-club/events/312626669/,recurring biweekly,True
the-breakfast-club-interface-capital-x-multiple-capital,The Breakfast Club — Interface Capital x Multiple Capital,Event,Daily Events,confirmed,2026-06-09,Tuesday,2026-06,Berlin,Luma,https://luma.com/6jnesz4p,approval required; during SuperVenture,True
retrieve-remember-reason-with-women-of-search,Retrieve. Remember. Reason - with Women of Search,Event,Daily Events,pending,2026-06-09,Tuesday,2026-06,"deepset GmbH, Zinnowitzer Str. 1, 10115 Berlin",Luma,https://luma.com/xrf6httx,approval required,True
event,https://www.instagram.com/p/DYrvI-ioO8j/,Event,Daily Events,pending,2026-06-09,Tuesday,2026-06,,Instagram,https://www.instagram.com/p/DYrvI-ioO8j/,Instagram login wall,False
female-health-founder-after-work,Female Health Founder After Work,Event,Daily Events,pending,2026-06-09,Tuesday,2026-06,"Mindspace Kurfürstendamm, Uhlandstraße 32, 10719 Berlin",Eventbrite,https://www.eventbrite.de/e/female-health-founder-after-work-tickets-1990229554172,,True
tech-truth-transparency-who-controls-berlin-s-tech-culture,"Tech, Truth & Transparency: Who Controls Berlin's Tech Culture?",Event,Daily Events,pending,2026-06-09,Tuesday,2026-06,"The Social Hub Berlin, Alexanderstraße 40, 10179 Berlin",Luma,https://luma.com/erce5ujj,,True
the-real-cost-of-hiring-decisions-globally-with-ai-or-withou,The Real Cost of Hiring Decisions Globally - With AI or Without,Event,Daily Events,pending,2026-06-09,Tuesday,2026-06,"MOIA GmbH, Alexanderufer 5, 10117 Berlin",Luma,https://luma.com/talent-d2tr,registration closed,True
the-supersalon-dinner,The SuperSalon Dinner,Event,Daily Events,confirmed,2026-06-09,Tuesday,2026-06,"Moritzplatz, Berlin",Luma,https://luma.com/superdinner,approval required,True
the-edge,The Edge,Event,Daily Events,confirmed,2026-06-09,Tuesday,2026-06,Berlin,Luma,https://luma.com/fomosupernight,approval required,True
responsible-and-impactful-ai-breakfast-super-venture,Responsible and Impactful AI Breakfast @ Super Venture,Event,Daily Events,pending,2026-06-09,Tuesday,2026-06,Berlin Mitte,Luma,https://luma.com/b80iofv7,private; approval required,True
super-sundowner-berlin,Super Sundowner Berlin,Event,Daily Events,confirmed,2026-06-09,Tuesday,2026-06,Berlin,Luma,https://luma.com/id8wx5z8,waitlist,True
super-climate-berlin,Super Climate Berlin,Event,Daily Events,confirmed,2026-06-09,Tuesday,2026-06,Berlin,Luma,https://luma.com/SC_Berlin,private; approval required; early June,True
superrun-berlin,SuperRun Berlin,Event,Daily Events,confirmed,2026-06-10,Wednesday,2026-06,Berlin (Zoologischer Garten area),Luma,https://luma.com/luarqn63,approval required,True
berlin-seo-content-club-12-x-idealo,Berlin SEO & Content Club #12 x idealo,Event,Daily Events,pending,2026-06-10,Wednesday,2026-06,"idealo internet GmbH, Zimmerstraße 50, 10117 Berlin",Luma,https://luma.com/event/evt-yogeuTXvrj73NHv,past event,True
flight-levels-flight-club-12,Flight Levels Flight Club #12,Event,Daily Events,pending,2026-06-10,Wednesday,2026-06,"ImmoScout24, Invalidenstraße 65, 10557 Berlin",Meetup,https://www.meetup.com/flight-levels-flight-club-berlin/events/314888162/,,True
walk-and-talk-finanzielle-freiheit-und-anlagestrategien,Walk and Talk: Finanzielle Freiheit und Anlagestrategien,Event,Daily Events,pending,2026-06-10,Wednesday,2026-06,"Botschaft der Republik Korea, Stülerstraße 8-10, 10787 Berlin",Meetup,https://www.meetup.com/aktienfueralle/events/313187937/,recurring,True
55-magento-stammtisch-berlin,55. Magento Stammtisch Berlin,Event,Daily Events,pending,2026-06-10,Wednesday,2026-06,"PHOENIX MEDIA Berlin GmbH, Landsberger Allee 53, 10249 Berlin",Meetup,https://www.meetup.com/magento-stammtisch-berlin/events/314176381/,,True
event-2,https://www.instagram.com/p/DY4F2HWi8PX/,Event,Daily Events,pending,2026-06-10,Wednesday,2026-06,,Instagram,https://www.instagram.com/p/DY4F2HWi8PX/,Instagram login wall,False
event-3,https://www.instagram.com/p/DY2RPUcseFT/,Event,Daily Events,pending,2026-06-10,Wednesday,2026-06,,Instagram,https://www.instagram.com/p/DY2RPUcseFT/,Instagram login wall,False
constant-pressure-thriving-in-the-start-up-bubble,Constant Pressure - Thriving in the Start-Up Bubble,Event,Daily Events,pending,2026-06-10,Wednesday,2026-06,"Factory Berlin Mitte, Rheinsberger Str. 76/77, Berlin",Luma,https://luma.com/p9awy8ny,,True
cafe-compute-meetup-berlin,Cafe Compute Meetup: Berlin,Event,Daily Events,pending,2026-06-10,Wednesday,2026-06,"Merantix AI Campus, Berlin",Luma,https://luma.com/cerebrasberlin,approval required,True
super-aperitivo-ii-by-pt1-carbon-equity-heliad-norrsken-and-,"Super Aperitivo II by PT1, Carbon Equity, HELIAD, Norrsken and FOMO",Event,Daily Events,confirmed,2026-06-10,Wednesday,2026-06,West Berlin,Luma,https://luma.com/superaperitivo2,private; approval required,True
ff010392ab905899c7660f00754d9f148f0360e5,https://gtlawinfo.com/rv/ff010392ab905899c7660f00754d9f148f0360e5,Event,Daily Events,confirmed,2026-06-10,Wednesday,2026-06,,Greenberg Traurig,https://gtlawinfo.com/rv/ff010392ab905899c7660f00754d9f148f0360e5,blocked (Greenberg Traurig redirect),False
escp-juni-investor-bbq-a-superreturn-week-garden-gathering,ESCP × JUNI Investor BBQ - A SuperReturn week garden gathering,Event,Daily Events,confirmed,2026-06-10,Wednesday,2026-06,"ESCP Business School Berlin, Heubnerweg 8-10, 14059 Berlin",Luma,https://luma.com/0bsn1r16,waitlist,True
techbio-aperitivo-planet-a-verve-redalpine,"TECHBIO APERITIVO | Planet A, Verve, Redalpine",Event,Daily Events,confirmed,2026-06-10,Wednesday,2026-06,,Gatsby,https://gatsby.events/planet-a/rsvp/register?e=techbio-aperitivo-i-planet-a-verve-ventures-redalpine,registration page,True
revenue-royale,Revenue Royale,Event,Daily Events,confirmed,2026-06-11,Thursday,2026-06,"Tipi am Kanzleramt, Berlin",Website,https://revenue-royale.de/en,invite-only gala,True
meet-the-gp-juliane-hahn-of-signature-ventures,Meet the GP: Juliane Hahn of Signature Ventures,Event,Daily Events,confirmed,2026-06-11,Thursday,2026-06,"Kramer, Neukölln, Berlin",Luma,https://luma.com/39935e65,private; approval required,True
grafanacon-local-meetup-berlin,GrafanaCON Local meetup: Berlin,Event,Daily Events,pending,2026-06-11,Thursday,2026-06,"SumUp Services GmbH, Koppenstraße 8, 10243 Berlin",Meetup,https://www.meetup.com/grafana-and-friends-berlin/events/313665964/,,True
ask-female-founders-from-bss-to-exit-in-three-years,Ask Female Founders: From BSS to Exit in Three Years,Event,Daily Events,pending,2026-06-11,Thursday,2026-06,Berlin (venue TBA),Meetup,https://www.meetup.com/berlin-digital-business-network-sibb/events/314748927/,,True
be-unique-dialog-mindful-unternehmertum-echte-vereinbarkeit,BE UNIQUE Dialog - Mindful Unternehmertum & echte Vereinbarkeit,Event,Daily Events,pending,2026-06-11,Thursday,2026-06,"Maschenfein Studio, Erasmusstraße 14, 10553 Berlin",Eventbrite,https://www.eventbrite.de/e/be-unique-dialog-mindful-unternehmertum-echte-vereinbarkeit-tickets-1983948997859,sold out,True
event-4,https://www.instagram.com/,Event,Daily Events,pending,2026-06-11,Thursday,2026-06,,Instagram,https://www.instagram.com/,Instagram home; no event,False
opus-berlin-founder-drinks,OPUS Berlin Founder Drinks,Event,Daily Events,pending,2026-06-11,Thursday,2026-06,Berlin,Luma,https://luma.com/px67mtws,approval required,True
ampli-summer-gathering-berlin-2026,Ampli Summer Gathering Berlin 2026,Event,Daily Events,confirmed,2026-06-11,Thursday,2026-06,Berlin Mitte (rooftop),Luma,https://luma.com/xvrsamdk,invite-only,True
event-5,https://www.instagram.com/p/DYg7rlqs6zw/,Event,Daily Events,pending,2026-06-11,Thursday,2026-06,,Instagram,https://www.instagram.com/p/DYg7rlqs6zw/,Instagram login wall,False
event-6,https://www.instagram.com/p/DZKtB6SDM99/,Event,Daily Events,pending,2026-06-11,Thursday,2026-06,,Instagram,https://www.instagram.com/p/DZKtB6SDM99/,Instagram login wall,False
sleek-art-space-exhibition-opening-fussball,SLEEK Art Space Exhibition Opening 'FUSSBALL',Event,Daily Events,confirmed,2026-06-11,Thursday,2026-06,"SLEEK Art Space, Alexanderstr. 7, 10178 Berlin",EventCreate,https://www.eventcreate.com/e/sleek-exhibition-opening-fussball,,True
ai-nation-founders-connect,AI NATION Founders Connect,Event,Daily Events,confirmed,2026-06-11,Thursday,2026-06,Berlin,Luma,https://luma.com/3s865hx7,registration closed,True
2362i40ejttqlzvdma75gia,https://2es6sk.share-eu1.hsforms.com/2362I40EJTtqlZVdMA75GIA,Event,Daily Events,pending,2026-06-11,Thursday,2026-06,,Website,https://2es6sk.share-eu1.hsforms.com/2362I40EJTtqlZVdMA75GIA,HubSpot form; no event content,False
superreturn-2026-houlihan-lokey,SuperReturn 2026 (Houlihan Lokey),Event,Daily Events,confirmed,2026-06-11,Thursday,2026-06,Berlin,Houlihan Lokey,https://events.hl.com/superreturn-2026/registration,blocked/empty; title from URL,True
dufte-berlin-superreturn-meets-art-basel,Dufte Berlin: SuperReturn meets Art Basel,Event,Daily Events,confirmed,2026-06-11,Thursday,2026-06,Berlin,Luma,https://luma.com/cduys7by,approval required,True
lean-coffee-for-managers-leaders,Lean Coffee for Managers & Leaders,Event,Daily Events,pending,2026-06-12,Friday,2026-06,"Cafe Neundrei, Monbijouplatz 2, Berlin",Meetup,https://www.meetup.com/berlin-lean-coffee/events/314815012/,recurring,True
coworking-at-alexanderplatz,Coworking at Alexanderplatz,Event,Daily Events,pending,2026-06-12,Friday,2026-06,"Alexanderplatz, Berlin",Meetup,https://www.meetup.com/berlin-coworking-club/events/312626681/,canceled,True
work-out-tune-in-retreat,Work Out & Tune In (Retreat),Event,Daily Events,confirmed,2026-06-12,Friday,2026-06,"Teupitz, Brandenburg",Website,https://www.elevateretreats.de/work-out-tune-in,12-14 June retreat,True
0qa06a,https://tally.so/r/0Qa06A,Event,Daily Events,confirmed,2026-06-12,Friday,2026-06,,Tally,https://tally.so/r/0Qa06A,form closed; no event content,False
event-7,https://www.instagram.com/p/DZSsCY4tgWk/,Event,Daily Events,pending,2026-06-12,Friday,2026-06,,Instagram,https://www.instagram.com/p/DZSsCY4tgWk/,Instagram login wall,False
the-pilates-social-reggaeton-edition-elevate-x-the-a-society,The Pilates Social: Reggaeton Edition - Elevate x The A Society,Event,Daily Events,pending,2026-06-12,Friday,2026-06,"Elevate Pilates, Greifswalder Str. 207, 10405 Berlin",Luma,https://luma.com/vnofh2w8,past event,True
fomo-x-the-delta-bad1-afterparty,FOMO x The Delta: BAD1 Afterparty,Event,Daily Events,confirmed,2026-06-12,Friday,2026-06,Berlin,Luma,https://luma.com/bad1afterparty,approval required,True
bad1-conference,BAD1 Conference,Event,Daily Events,confirmed,2026-06-12,Friday,2026-06,"The Delta, Neukölln, Berlin",Website,https://bad1.events/,,True
berlin-blockchain-week-2026,Berlin Blockchain Week 2026,Festival,All-Day Festivals & Conferences,pending,2026-06-13,Saturday,2026-06,Berlin,Website,https://blockchainweek.berlin/,13-21 June,True
entrepreneurship-sommerfest-camp-2026,Entrepreneurship Sommerfest & Camp 2026,Event,Daily Events,confirmed,2026-06-13,Saturday,2026-06,"Profund Innovation, Altensteinstrasse 40, 14195 Berlin",Google Forms,https://docs.google.com/forms/d/e/1FAIpQLScVwsEv6KPXMbikO21AHLAsvqyTJGj1Eb9mC9HKA1AREhSrhQ/viewform,Google Form,True
solana-summit-germany,Solana Summit Germany,Event,Daily Events,confirmed,2026-06-13,Saturday,2026-06,"Spreespeicher, Stralauer Allee 2, 10245 Berlin",Luma,https://luma.com/solanasummitgermany,,True
mobility-x-padel-beach-edition,MOBILITY x PADEL (Beach Edition),Event,Daily Events,pending,2026-06-13,Saturday,2026-06,"Padelhaus, Köpenicker Ch 11-14, 10317 Berlin",Luma,https://luma.com/858phbrs,€32,True
hands-up-community-run,Hands up Community Run,Event,Daily Events,pending,2026-06-13,Saturday,2026-06,"Kantstraße 26, 10623 Berlin",Luma,https://luma.com/olj9am5u,free,True
event-8,https://www.instagram.com/p/DZFOQFuCJSs/,Event,Daily Events,confirmed,2026-06-13,Saturday,2026-06,,Instagram,https://www.instagram.com/p/DZFOQFuCJSs/,Instagram login wall,False
event-9,https://www.instagram.com/p/DZH3sAzkvQw/,Event,Daily Events,confirmed,2026-06-13,Saturday,2026-06,,Instagram,https://www.instagram.com/p/DZH3sAzkvQw/,Instagram login wall,False
event-10,https://www.instagram.com/p/DZHukLPANhK/,Event,Daily Events,pending,2026-06-13,Saturday,2026-06,,Instagram,https://www.instagram.com/p/DZHukLPANhK/,Instagram login wall,False
event-11,https://www.instagram.com/p/DZFwCsTjk4M/,Event,Daily Events,pending,2026-06-13,Saturday,2026-06,,Instagram,https://www.instagram.com/p/DZFwCsTjk4M/,Instagram login wall,False
event-12,https://www.instagram.com/p/DZNeIpAgAML/,Event,Daily Events,confirmed,2026-06-13,Saturday,2026-06,,Instagram,https://www.instagram.com/p/DZNeIpAgAML/,Instagram login wall,False
berlin-blockchain-week-2026-2,Berlin Blockchain Week 2026,Event,Daily Events,confirmed,2026-06-13,Saturday,2026-06,Berlin,Website,https://blockchainweek.berlin/,13-21 June,True
igc-volunteering,IGC Volunteering,Event,Daily Events,pending,2026-06-13,Saturday,2026-06,"Viyana Café, Kottbusser Str. 4, 10999 Berlin",Luma,https://luma.com/ootr6ns8,past event,True
berlin-blockchain-week-2026-3,Berlin Blockchain Week 2026,Event,Daily Events,pending,2026-06-13,Saturday,2026-06,Berlin,Website,https://blockchainweek.berlin/,13-21 June,True
elysian-temple-viii,Elysian Temple VIII,Event,Daily Events,confirmed,2026-06-14,Sunday,2026-06,Berlin,Luma,https://luma.com/fcvmrgam,address hidden,True
event-13,https://www.instagram.com/p/DYsIQvVIVGr/,Event,Daily Events,pending,2026-06-14,Sunday,2026-06,,Instagram,https://www.instagram.com/p/DYsIQvVIVGr/,Instagram login wall,False
event-14,https://www.instagram.com/p/DY5L7bjx3K0/,Event,Daily Events,pending,2026-06-14,Sunday,2026-06,,Instagram,https://www.instagram.com/p/DY5L7bjx3K0/,Instagram login wall,False
berliner-weinfest,Berliner Weinfest,Event,Daily Events,confirmed,2026-06-14,Sunday,2026-06,Berlin,Website,https://www.berlinweinfest.de/,blocked/empty; title from URL,True
event-15,https://www.instagram.com/p/DZKLTclCICh/,Event,Daily Events,pending,2026-06-14,Sunday,2026-06,,Instagram,https://www.instagram.com/p/DZKLTclCICh/,Instagram login wall,False
event-16,https://www.instagram.com/p/DZIL0F8iLu6/,Event,Daily Events,pending,2026-06-14,Sunday,2026-06,,Instagram,https://www.instagram.com/p/DZIL0F8iLu6/,Instagram login wall,False
event-17,https://www.instagram.com/p/DZKxaOaCCT0/,Event,Daily Events,pending,2026-06-14,Sunday,2026-06,,Instagram,https://www.instagram.com/p/DZKxaOaCCT0/,Instagram login wall,False
event-18,https://www.instagram.com/p/DZKVJw8FaCU/,Event,Daily Events,pending,2026-06-14,Sunday,2026-06,,Instagram,https://www.instagram.com/p/DZKVJw8FaCU/,Instagram login wall,False
what-is-a-good-life-a-socratic-dialogue-agnes-callard-berisl,What is a Good Life? A Socratic Dialogue (Agnes Callard & Berislav Marušić),Event,Daily Events,pending,2026-06-14,Sunday,2026-06,"Reethaus, Flussbad, Berlin",Website,https://flussbad.com/event/socratic-dialogue/,€20,True
homecoming-dayoff-x-berlin-social-club,Homecoming | DAYOFF X BERLIN SOCIAL CLUB,Event,Daily Events,confirmed,2026-06-14,Sunday,2026-06,"Hotel Amano Eastside, Stralauer Pl. 30-31, 10243 Berlin",Luma,https://luma.com/qep7sot3,dayparty & public viewing,True
park-buchclub-juni-yesteryear,park.buchclub juni - YESTERYEAR,Event,Daily Events,confirmed,2026-06-14,Sunday,2026-06,"Buchkantine, Dortmunder Str. 1, 10555 Berlin",Luma,https://luma.com/14whxg3s,past event,True
berlin-designing-the-next-generation-of-ai-experiences,Berlin: Designing the Next Generation of AI Experiences,Event,Daily Events,confirmed,2026-06-15,Monday,2026-06,"SAP, George-Stephenson-Straße 7-13, 10557 Berlin",Meetup,https://www.meetup.com/projector-global-community/events/314859637/,,True
chainflip-social-run-berlin-blockchain-week,Chainflip Social Run - Berlin Blockchain Week,Event,Daily Events,confirmed,2026-06-15,Monday,2026-06,"Schlesische Str. 20, 10997 Berlin",Luma,https://luma.com/4uk00n6o,,True
arrtist-on-tour-berlin-2026,ARRtist on Tour Berlin 2026,Event,Daily Events,confirmed,2026-06-16,Tuesday,2026-06,"HubSpot, Am Postbahnhof 17, 10243 Berlin",Eventbrite,https://www.eventbrite.de/e/arrtist-on-tour-berlin-2026-tickets-1985497324947,,True
female-founders-contest-halbfinale-berlin,Female Founders Contest Halbfinale Berlin,Event,Daily Events,confirmed,2026-06-16,Tuesday,2026-06,"Investitionsbank Berlin, Bundesallee 210, 10719 Berlin",Rausgegangen,https://t.rausgegangen.de/tickets/ffc-berlin,,True
35-ai-series-eth-zurich-t-wimmer,#35 AI Series: ETH Zürich - T. Wimmer,Event,Daily Events,pending,2026-06-16,Tuesday,2026-06,"TU Berlin, Str. des 17. Juni 115, 10623 Berlin",Meetup,https://www.meetup.com/bliss-speaker-series/events/314165746/,,True
introduction-to-dax-user-defined-functions-udfs,Introduction to DAX User Defined Functions (UDFs),Event,Daily Events,pending,2026-06-16,Tuesday,2026-06,"studio location berlin, Köpenicker Str. 187-188, 10997 Berlin",Meetup,https://www.meetup.com/berlin-power-bi-user-group/events/313692296/,,True
ibm-bob-coding-watch-party-in-berlin,IBM Bob (Coding) Watch Party in Berlin,Event,Daily Events,pending,2026-06-16,Tuesday,2026-06,"IBM Berlin, Ella-Trebe-Straße 3, Berlin",Meetup,https://www.meetup.com/ibm-developers/events/314655561/,,True
